Customer ID	Name	Date of Birth	Gender	Email	Phone Number	Address	Account Type	Account Number	Balance (USD)	Credit Score	Loan Status	Loan Amount (USD)	Transaction Frequency (per month)	Last Transaction Date
017b4ae3	Mr. Robert Marshall	1948-01-12	Male	olivermichael@gmail.com	001-170-108-9513x8083	166 Joseph Viaduct, Nicoleton, MT 70028	Fixed Deposit	GB88DLSK87009651249089	41136.07	809	Closed	0.0	26	2024-10-12
d21027e2	Maria Sullivan	1965-05-26	Female	jeffery31@hotmail.com	819.475.1883	8443 Williams Shore Suite 634, Timothymouth, IA 68913	Savings	GB71BBIJ64750856319980	32425.33	349	Closed	0.0	28	2024-10-18
e8738fed	Mrs. Haley Mcintyre	1985-07-15	Female	truiz@hotmail.com	+1-777-442-5470x9065	82389 Christina Gardens Suite 016, East Jessica, PA 18142	Savings	GB34FROW62972005889402	1135.79	635	Default	0.0	14	2024-12-30
351f7e4c	Matthew Paul	1956-01-17	Female	jennifer41@hotmail.com	080.679.5988x4010	9721 Alexandra Corner, South Karen, NC 98633	Savings	GB36DBQO78490159348699	2704.67	707	Default	26758.39	9	2024-07-27
bc8cffbd	Henry Vaughan	1998-01-19	Male	matthew01@williams.info	(531)189-0033x09047	93239 Aaron Alley Apt. 774, Cooperchester, IN 21919	Fixed Deposit	GB61MBKD38088265076755	10121.45	537	Default	44175.5	25	2024-03-20
21e9f1ae	Shane Orozco	1998-03-29	Female	jacksonkeith@aguilar-pratt.com	(229)322-0739x0173	781 Francisco Lane Suite 108, West Jessica, AR 20265	Savings	GB79ZCOL26845265266184	45643.66	474	Default	0.0	27	2024-09-16
17786302	Diana Woods	1983-01-13	Male	uharding@yahoo.com	288-774-8297x3981	86859 Myers Street, Port Trevorfurt, CO 60401	Fixed Deposit	GB14VDFJ65712519155101	13724.73	630	Active	8765.64	17	2024-04-21
6b6de353	Dr. Daniel Lopez	1968-08-16	Female	penny66@yahoo.com	(330)343-2736x3954	8597 Lisa Valleys Suite 177, East Michaelmouth, ID 35782	Fixed Deposit	GB75OVCT30541916087139	22611.44	760	Default	0.0	29	2025-02-02
0e2a09b4	Christopher Griffith	1965-10-17	Female	stephanie48@yahoo.com	(511)051-6685x8577	7970 Wilson Greens Suite 772, East Jessicatown, NJ 17137	Current	GB43LTBH48899348449198	16959.5	656	Default	9786.93	16	2024-04-22
03d64ef7	Michael Rodriguez	1956-01-09	Female	amber99@yahoo.com	001-266-562-8908x4992	66740 Christine Curve, Joneston, SC 60091	Fixed Deposit	GB38STVX76233519743161	42649.78	704	Default	0.0	4	2024-06-22
c4571588	Mary Freeman	1947-02-11	Male	cindy11@hotmail.com	(056)124-5435	48796 Danielle Rapids, Hernandezville, GA 01901	Fixed Deposit	GB56HBFO45247502563847	10421.58	345	Active	0.0	7	2025-01-22
dff03852	Renee Knight	1973-12-28	Female	twalsh@chambers.com	083-398-6096	023 Stephen Cliffs Apt. 697, New Michelleshire, ND 77458	Current	GB98WVOZ44191925263555	47982.51	618	Active	0.0	23	2024-09-17
d91eedeb	Scott Whitaker	1999-06-16	Female	sandrajames@mack-brown.com	(945)450-5843x6539	075 Dana Pine, New Wanda, RI 15279	Current	GB81BJEN21748759246167	12033.66	381	Closed	27446.45	28	2024-12-16
7f8147c9	Hannah Lee	2006-08-06	Male	deckermichele@foster-gibson.com	+1-003-237-8782x798	868 Jennifer Pike, Ingramstad, MI 99177	Current	GB44KXCC85993554229748	23953.07	350	Closed	47527.78	13	2024-06-07
5c7ccb38	Nicole Torres	1988-07-13	Male	stephaniewatson@brown.biz	2525503275	97313 Peters Fords Apt. 675, Anthonyhaven, IA 31598	Savings	GB62KSUZ81071597429611	29547.45	678	Active	0.0	3	2024-09-24
355b6b92	John Mitchell	1958-02-11	Male	gjones@yahoo.com	(063)260-7427x8917	5658 Mark Port, Courtneyport, LA 72960	Current	GB56KVBV50657253247932	3787.53	367	Closed	0.0	10	2024-03-11
29533324	Kimberly Miller	1948-01-17	Male	perezjessica@fernandez.info	555.301.8602x92034	9375 Morgan Street, Rebeccastad, PA 07695	Fixed Deposit	GB68KGSJ35099576045458	17058.18	527	Default	28084.34	11	2025-01-24
ca2a43f2	Melissa Austin	1986-05-05	Male	arielhughes@barnett.org	653.758.4352	6535 Erickson Corners Apt. 710, New David, CT 89984	Savings	GB36JNTF74236749710057	46273.56	690	Default	0.0	7	2024-05-23
1ee8116f	Juan Ray	1957-08-18	Female	srodriguez@wu.com	001-392-401-4466x156	559 Church Ramp, Rodriguezmouth, MA 85025	Current	GB23LMFO84381409965411	10614.41	430	Default	0.0	5	2024-12-13
b97ca5ce	Jay Morgan	1996-03-27	Male	ronaldatkins@henry-jones.com	266-181-4544x79907	588 Snyder Ford Suite 984, North Calvinside, AZ 14800	Current	GB29IJSS85711952173316	33146.66	379	Default	2407.81	20	2024-05-08
2e29cd0b	David Robles	1951-05-04	Male	antonio18@nelson-mueller.net	(676)324-4737x13751	4642 Baker Walk, New Steven, NV 31143	Current	GB38PRFL52035555651363	29813.8	825	Closed	42090.18	22	2024-09-18
4608a3f7	Lisa Wong DDS	1954-01-26	Male	isuarez@vasquez.info	+1-222-209-0474	2074 James Forge Suite 081, Philipland, KY 22634	Fixed Deposit	GB32UVVD66388983310189	44048.24	682	Active	0.0	12	2024-05-12
6cf2eb24	Wendy Rodriguez	1990-03-03	Male	rodriguezjoanna@richardson.org	(795)017-5792x54759	932 Contreras Locks, Wilsonchester, RI 52966	Savings	GB97NRPB48288004216452	14306.1	702	Default	0.0	20	2024-05-02
9ff9a028	Richard Barton	2000-03-15	Male	nrussell@yahoo.com	139.527.9128x686	494 John Views, West Jennifer, DE 33576	Fixed Deposit	GB89LGBV62568245706366	11336.46	591	Closed	0.0	9	2024-12-03
fb9d69df	Don Cook	1974-06-15	Female	walkeranna@yahoo.com	253-602-5639x591	2103 Tyler River Apt. 627, New Samuel, KS 19180	Savings	GB51SCFI26496585075978	35902.39	738	Closed	43727.06	14	2024-11-21
2822a8d8	Kyle Franklin	1992-10-02	Female	amorrison@hotmail.com	521-213-7617	44315 Jones Lakes Suite 277, Robinsonland, HI 09962	Savings	GB93OWGF51307172993034	3701.47	606	Default	1893.11	21	2024-05-20
7ef4a7d4	Kim Johnson	2003-11-03	Male	clarkchelsea@yahoo.com	001-701-485-7214	554 Barnett Heights, Michaelmouth, NE 50787	Savings	GB85SRUW97200360427067	1910.9	517	Active	41882.33	21	2024-07-22
22b3b9e0	Samantha Davis	2004-08-24	Female	barrettwhitney@thompson.com	001-735-930-0139x8533	48457 Harper Ferry, Maldonadoview, MN 03774	Savings	GB36ZXRU47926636022849	34933.92	594	Default	24764.36	12	2024-05-12
90118708	Stephanie Kim	1959-07-27	Male	ajohnson@wolfe-copeland.biz	253.514.7614	781 Brandi Rapids Apt. 505, Alexisland, ME 74690	Current	GB53LKBB92443570887448	9995.11	443	Closed	0.0	26	2024-08-24
ecb8ebb7	Leah Wilkins	1968-12-28	Female	heather51@hotmail.com	1100686207	357 Michael Wall, Brennanmouth, ND 45917	Savings	GB48EFLK01050028947394	13395.56	390	Default	0.0	16	2024-03-03
c22ea64a	Patricia Blankenship	1991-11-27	Male	rickycharles@gmail.com	492.842.6107	5206 Neil Expressway Suite 203, North Felicia, IA 79525	Fixed Deposit	GB60ZCTC66369097389106	625.94	843	Closed	17104.81	3	2024-03-09
8c407f98	Eric Bailey	2003-03-06	Female	xthomas@alexander-lopez.info	+1-713-233-4013x3688	5309 Megan Crossing Suite 369, West Erinmouth, OK 09211	Fixed Deposit	GB85PLEJ70363101822339	32083.77	729	Closed	34513.44	14	2024-04-22
e97cc5ae	John Branch	1993-10-16	Male	dayjames@scott-cordova.com	+1-522-111-3801x37608	73607 Erin Springs Suite 933, West Jacobview, NM 34514	Savings	GB33ILMQ13480987694661	12641.13	751	Closed	0.0	9	2024-09-13
f96acb79	Patrick Maynard	1954-11-25	Female	mccormickkimberly@hoffman-golden.com	025-779-2402	9926 Tyler Harbors, East Richard, CT 81302	Current	GB41DYWT26394467826630	31362.79	628	Active	0.0	18	2025-01-06
79cb9ad9	Joyce Martinez	1968-09-30	Female	jermaine53@curtis.com	989.352.4468x786	99805 Little Forges, Hawkinsville, RI 92981	Fixed Deposit	GB74ISVB18520763263027	2446.12	532	Active	27876.07	19	2024-10-10
1036c893	Laura Hamilton	1964-07-01	Female	icarter@evans-ho.com	001-320-890-2211	03104 Jones Glens Apt. 390, North Jack, HI 06770	Current	GB68QEQQ66328552267511	43356.66	784	Default	0.0	29	2024-07-25
850da856	Kevin Alexander	1964-03-28	Male	xriley@yahoo.com	862.911.0421x057	132 Bradley Rue, Brianchester, NC 70054	Fixed Deposit	GB38GWOV54682515170077	22155.35	497	Default	0.0	26	2024-07-22
b62d98a3	Vincent Martinez	2000-12-12	Male	richard05@yahoo.com	726-743-6237	92380 Hannah Flats Apt. 560, Larsonbury, AK 93847	Savings	GB48HOJM36845464469825	17049.9	526	Default	28933.65	27	2024-11-09
035fe355	Whitney Weber	1951-10-25	Male	nicholas38@salazar.info	+1-285-558-5642x1668	Unit 8413 Box 6509, DPO AP 58748	Savings	GB89KZLA10182854804529	41793.07	487	Active	40166.86	19	2024-05-26
53117ac7	Matthew Long	1997-05-05	Female	hornekristine@santiago.net	(786)281-8315x155	1668 Laura Dale Suite 352, Kelseychester, IN 74009	Current	GB80KZWF32198976380833	48447.87	456	Closed	17015.07	22	2024-09-30
c9499acf	Angel Smith	1979-10-02	Male	jacksonjames@duran.com	424-882-3865	Unit 8036 Box 2947, DPO AA 11306	Fixed Deposit	GB67BUBP95091813911727	34605.76	640	Default	0.0	24	2025-02-20
